subprefeitura,quantidade
BARRA DA TIJUCA,266
CENTRO,2352
GRANDE BANGU,4285
GRANDE TIJUCA,2943
ILHAS,741
JACAREPAGUA,2874
ZONA NORTE,14510
ZONA OESTE,9467
ZONA SUL,4583
