,id,bairro,subprefeitura,tipo_escola,nome_escola,logradouro,numero_endereco,lat,lon,quantidade
38,624,ENGENHO DE DENTRO,ZONA NORTE,ESCOLA MUNICIPAL,RIO GRANDE DO SUL,RUA ADOLFO BERGAMINI,201,-22.90034,-43.29594,109
39,157,ENGENHO NOVO,ZONA NORTE,ESCOLA MUNICIPAL,SARMIENTO,RUA VINTE QUATRUA DE MAIO,931,-22.90303,-43.26788,350
40,020,PIEDADE,ZONA NORTE,ESCOLA MUNICIPAL,TAGORE,PRACA FREDERICO DUVAL,S/N,-22.88766,-43.30247,255
41,117,JACARE,ZONA NORTE,CENTRO INTEGRADO DE EDUCACAO PUBLICA,CHANCELER WILLY BRANDT,RUA ALVARUA SEIXAS,S/N,-22.89418,-43.26385,457
42,502,DEL CASTILHO,ZONA NORTE,CENTRO INTEGRADO DE EDUCACAO PUBLICA,PATRICE LUMUMBA,PRACA DA CONFEDERACAO SUICA,S/N,-22.87836,-43.27489,493
43,351,JACARE,ZONA NORTE,CENTRO INTEGRADO DE EDUCACAO PUBLICA,VINICIUS DE MORAES,AVENIDA DOM HELDER CAMARUA,1715,-22.88532,-43.2541,489
44,135,INHAUMA,ZONA NORTE,ESCOLA MUNICIPAL,DOMINGOS BEBIANO,ESTRUA ADHEMAR BEBIANO,1870,-22.87389,-43.27771,456
45,388,PARADA DE LUCAS,ZONA NORTE,ESCOLA MUNICIPAL,CARDEAL CAMARA,RUA ANAMA,98,-22.81527,-43.30357,504
46,440,INHAUMA,ZONA NORTE,ESCOLA MUNICIPAL,JOAQUIM RIBEIRO,PRACA SOLDADO COSME DOS SANTOS,28,-22.87757,-43.28563,530
47,259,MARIA DA GRACA,ZONA NORTE,ESCOLA MUNICIPAL,PERNAMBUCO,RUA CONDE DE AZAMBUJA,579,-22.88418,-43.26262,158
48,422,MANGUINHOS,ZONA NORTE,ESCOLA MUNICIPAL,ALBINO SOUZA CRUZ,AVENIDA DOS DEMOCRATICOS,268,-22.88099,-43.25325,123
49,041,JARDIM AMERICA,ZONA NORTE,ESCOLA MUNICIPAL,ANDRADE NEVES,RUA VIANA DO CASTELO.,S/N,-22.80945,-43.32629,468
50,537,PENHA CIRCULAR,ZONA NORTE,ESCOLA MUNICIPAL,ARY QUINTELLA,RUA ENG. MOREIRUA LIMA,54,-22.83941,-43.30007,234
51,230,OLARIA,ZONA NORTE,ESCOLA MUNICIPAL,BERLIM,PRACA RAMOS FIGUEIRUA,20,-22.84779,-43.26144,24
52,379,CAMPO GRANDE,ZONA OESTE,CENTRO INTEGRADO DE EDUCACAO PUBLICA,NELSON MANDELA,PRACA DANIEL LAMES,S/N,-22.89558,-43.57051,109
53,146,PENHA,ZONA NORTE,ESCOLA MUNICIPAL,BERNARDO VASCONCELOS,PRACA SANTA ROSALIA,100,-22.84563,-43.28401,151
54,566,PENHA CIRCULAR,ZONA NORTE,ESCOLA MUNICIPAL,BRANT HORTA,RUA BENTO CARDOSO,130,-22.83567,-43.28816,564
55,498,OLARIA,ZONA NORTE,ESCOLA MUNICIPAL,CHILE,PRACA BELMONTE,15,-22.84858,-43.26859,61
56,663,PENHA,ZONA NORTE,ESCOLA MUNICIPAL,CIENTISTA MARIO KROEFF,RUA DO COUTO,91,-22.83896,-43.27517,426
57,121,RAMOS,ZONA NORTE,ESCOLA MUNICIPAL,DILERMANDO CRUZ,AVENIDA TEIXEIRUA DE CASTRO,407,-22.85387,-43.25245,167
58,161,PENHA CIRCULAR,ZONA NORTE,ESCOLA MUNICIPAL,JOAO DE DEUS,PRACA ALMEIDA GARRET,S/N,-22.82995,-43.28211,509
59,263,VIGARIO GERAL,ZONA NORTE,ESCOLA MUNICIPAL,PADRE MANUEL DE NOBREGA,PRACA ELBA,1215,-22.85714,-43.26416,292
60,118,BONSUCESSO,ZONA NORTE,CENTRO INTEGRADO DE EDUCACAO PUBLICA,ELIS REGINA,RUA PRINCIPAL,S/N,-22.85783,-43.24045,210
61,140,BONSUCESSO,ZONA NORTE,ESCOLA MUNICIPAL,PEDRO LESSA,RUA ADAIL,49,-22.86047,-43.25428,153
62,260,BONSUCESSO,ZONA NORTE,ESCOLA MUNICIPAL,PROFESSOR JOSUE DE CASTRO,AVENIDA BRASIL  RUA DA VITORIA,4040,-22.87374,-43.24071,397
63,069,MADUREIRA,ZONA NORTE,ESCOLA MUNICIPAL,CARDEAL ARCOVERDE,RUA AGOSTINHO BARBALHO,401,-22.87608,-43.34337,468
64,090,ACARI,ZONA NORTE,ESCOLA MUNICIPAL,THOMAS JEFFERSON,AVENIDA PASTOR MARTIN LUTHER KING JR,S/N,-22.81631,-43.34015,67
65,274,CACUIA,ILHAS,ESCOLA MUNICIPAL,ABEILARD FEIJO,ESTRADA DA CACUIA,1386,-22.80769,-43.18156,561
66,676,JARDIM GUANABARA,ILHAS,ESCOLA MUNICIPAL,ANISIO TEIXEIRA,RUA SERENATA,40,-22.81244,-43.20966,180
